"date","time","ip","seconds","average seconds","median seconds",,"unique ips","count","average count",,"dates","total listens","total seconds",
04/06/10,10:51:07 PM,"128.113.247.5",8,,,,"128.113.247.91",2,,,,,,
04/06/10,10:44:18 PM,"128.113.247.5",74,,,,"129.11.218.128",2,,,,,,
04/06/10,10:31:53 PM,"128.113.247.5",14,,,,"128.61.23.157",2,,,,,,
04/07/10,12:01:08 AM,"128.113.247.5",8,,,,"65.110.128.222",2,,,,,,
03/28/10,08:51:50 PM,"128.113.247.91",32,,,,"18.111.36.101",2,,,,,,
03/28/10,08:51:09 PM,"128.113.247.91",165,,,,"76.23.45.180",2,,,,,,
04/15/10,01:13:23 PM,"128.113.249.182",79,,,,"81.39.10.204",2,,,,,,
03/30/10,08:48:26 PM,"128.113.249.182",6686,,,,"65.110.133.55",2,,,,,,
03/30/10,03:49:17 PM,"128.113.249.182",1493,,,,"128.113.232.78",1,,,,,,
03/30/10,05:28:02 PM,"128.113.249.182",404,,,,"24.113.175.128",1,,,,,,
03/31/10,09:22:12 AM,"128.113.47.103",72,,,,"128.113.115.92",1,,,,,,
03/29/10,05:55:56 PM,"128.113.47.103",178,,,,"129.161.38.67",1,,,,,,
03/30/10,01:18:40 PM,"128.113.47.190",31,,,,"128.113.145.197",1,,,,,,
03/30/10,03:08:07 PM,"128.113.47.190",5939,,,,"128.113.237.43",1,,,,,,
03/30/10,04:34:38 PM,"128.113.47.190",1519,,,,"128.113.20.58",1,,,,,,
04/13/10,05:14:22 PM,"128.113.47.190",6496,,,,"216.165.95.70",1,,,,,,
04/26/10,12:00:01 PM,"128.113.47.190",54,,,,"218.120.94.12",1,,,,,,
03/31/10,03:38:53 PM,"128.113.47.25",16,,,,"128.113.232.134",1,,,,,,
03/31/10,03:39:16 PM,"128.113.47.25",23,,,,"128.113.91.170",1,,,,,,
03/31/10,04:11:55 PM,"128.113.47.25",1959,,,,"128.113.232.179",1,,,,,,
03/31/10,04:07:11 PM,"128.113.47.30",89978,,,,"128.113.232.116",1,,,,,,
04/08/10,11:29:22 AM,"128.113.47.50",794,,,,"128.113.89.61",1,,,,,,
04/08/10,12:21:32 PM,"128.113.47.50",11,,,,"174.102.204.236",1,,,,,,
04/05/10,02:39:54 PM,"128.113.47.50",119,,,,"129.161.200.175",1,,,,,,
03/30/10,01:10:22 PM,"128.113.89.61",36,,,,"149.119.220.88",1,,,,,,
04/04/10,06:56:31 PM,"128.113.91.170",103,,,,"163.192.12.119",1,,,,,,
03/29/10,10:48:08 PM,"128.113.91.43",167,,,,"213.112.134.128",1,,,,,,
03/28/10,06:52:21 PM,"128.113.91.43",348,,,,"213.123.226.172",1,,,,,,
03/28/10,07:30:23 PM,"128.113.91.43",674,,,,"205.231.28.165",1,,,,,,
03/28/10,08:29:35 PM,"128.113.91.43",13,,,,"128.113.47.30",1,,,,,,
03/28/10,07:54:29 PM,"128.113.91.43",326,,,,"213.112.133.22",1,,,,,,
03/28/10,08:22:22 PM,"128.113.91.43",1356,,,,"72.197.85.168",1,,,,,,
03/28/10,07:19:06 PM,"128.113.91.43",1231,,,,"128.113.195.41",1,,,,,,
03/28/10,07:55:27 PM,"128.113.91.43",51,,,,"128.113.237.243",1,,,,,,
03/29/10,09:17:53 PM,"128.237.236.227",850,,,,"24.92.48.48",1,,,,,,
03/29/10,09:06:56 PM,"128.61.23.157",19,,,,"24.185.107.38",1,,,,,,
03/29/10,09:06:40 PM,"128.61.23.157",19,,,,"24.186.70.120",1,,,,,,
04/08/10,04:43:21 PM,"129.11.218.128",278,,,,"121.73.163.196",1,,,,,,
04/28/10,05:56:22 PM,"129.11.218.128",398,,,,"128.113.247.114",1,,,,,,
03/28/10,10:02:00 PM,"129.161.200.175",4801,,,,"128.113.236.139",1,,,,,,
03/29/10,04:27:23 PM,"129.161.38.67",810,,,,"207.200.98.3",1,,,,,,
03/30/10,04:18:00 PM,"149.119.220.88",5105,,,,"24.85.65.166",1,,,,,,
04/09/10,01:18:51 PM,"163.192.12.119",823,,,,"207.200.98.1",1,,,,,,
03/29/10,09:17:20 PM,"174.102.204.236",19,,,,"68.107.36.211",1,,,,,,
04/02/10,06:04:09 AM,"178.25.65.140",97,,,,"67.248.27.186",1,,,,,,
03/28/10,07:06:32 PM,"18.111.36.101",3070,,,,"67.86.3.132",1,,,,,,
03/28/10,07:21:08 PM,"18.111.36.101",864,,,,"91.105.74.34",1,,,,,,
04/08/10,02:33:33 PM,"186.136.117.223",32,,,,"67.248.226.213",1,,,,,,
04/08/10,12:37:41 PM,"190.31.129.17",29,,,,"68.107.123.101",1,,,,,,
04/17/10,10:37:26 AM,"193.170.99.249",50,,,,"24.92.62.18",1,,,,,,
03/30/10,05:19:17 AM,"195.112.55.44",207,,,,"24.97.174.112",1,,,,,,
03/30/10,02:40:51 PM,"201.233.43.147",32,,,,"62.65.60.145",1,,,,,,
03/30/10,06:04:43 PM,"201.51.37.24",73,,,,"68.173.101.97",1,,,,,,
03/30/10,11:24:59 AM,"201.81.193.156",264,,,,"62.163.16.80",1,,,,,,
03/29/10,07:52:14 PM,"203.45.31.112",1499,,,,"62.255.249.114",1,,,,,,
03/30/10,02:21:53 PM,"204.15.6.54",6,,,,"91.2.229.133",1,,,,,,
03/30/10,02:19:50 PM,"204.15.6.54",6,,,,"91.86.7.47",1,,,,,,
03/30/10,02:20:20 PM,"204.15.6.54",9,,,,"178.25.65.140",1,,,,,,
03/30/10,02:19:29 PM,"204.15.6.54",9,,,,"81.176.237.242",1,,,,,,
04/28/10,08:52:30 PM,"205.188.234.100",69,,,,"89.212.185.10",1,,,,,,
04/28/10,08:51:06 PM,"205.188.234.97",65,,,,"67.248.20.117",1,,,,,,
04/28/10,08:52:30 PM,"205.188.234.98",91,,,,"67.246.37.104",1,,,,,,
04/28/10,08:51:24 PM,"205.188.234.98",62,,,,"67.246.45.121",1,,,,,,
04/13/10,11:51:48 AM,"205.231.28.165",164,,,,"91.109.223.17",1,,,,,,
04/28/10,08:50:44 PM,"207.200.98.1",65,,,,"91.135.8.79",1,,,,,,
04/28/10,08:50:23 PM,"207.200.98.3",67,,,,"67.248.167.50",1,,,,,,
03/30/10,07:29:20 AM,"213.112.133.22",40,,,,"68.38.78.251",1,,,,,,
04/12/10,05:08:37 AM,"213.112.134.128",36,,,,"68.45.106.112",1,,,,,,
04/02/10,02:15:55 PM,"213.123.226.172",40,,,,"66.188.136.90",1,,,,,,
03/29/10,09:07:08 PM,"216.165.95.70",63,,,,"64.7.152.127",1,,,,,,
04/20/10,08:32:44 PM,"218.120.94.12",40,,,,"72.43.5.141",1,,,,,,
04/12/10,10:47:54 PM,"24.113.175.128",39,,,,"92.234.26.191",1,,,,,,
03/29/10,10:03:51 PM,"24.185.107.123",358,,,,"71.249.99.118",1,,,,,,
04/01/10,08:30:30 PM,"24.185.107.123",1158,,,,"69.204.154.76",1,,,,,,
04/01/10,08:11:49 PM,"24.185.107.123",39,,,,"70.179.22.29",1,,,,,,
03/31/10,11:12:49 AM,"24.185.107.123",662,,,,"68.190.117.15",1,,,,,,
03/29/10,08:15:41 PM,"24.185.107.123",1802,,,,"68.68.179.202",1,,,,,,
04/28/10,07:28:03 PM,"24.185.107.38",176,,,,"71.206.246.248",1,,,,,,
03/29/10,04:36:27 PM,"24.186.70.120",115,,,,"72.226.79.187",1,,,,,,
03/29/10,03:51:20 PM,"24.218.109.15",526,,,,"72.231.144.19",1,,,,,,
04/02/10,12:56:18 PM,"24.218.109.15",1035,,,,"65.110.128.205",1,,,,,,
04/02/10,12:59:38 PM,"24.218.109.15",24,,,,"65.88.88.174",1,,,,,,
04/27/10,02:51:39 PM,"24.85.65.166",72,,,,"63.119.10.31",1,,,,,,
03/29/10,03:24:56 AM,"24.92.48.48",47,,,,"74.64.92.85",1,,,,,,
03/30/10,11:30:00 PM,"24.92.50.75",7,,,,"74.72.162.116",1,,,,,,
03/30/10,11:39:12 PM,"24.92.50.75",553,,,,"72.231.173.43",1,,,,,,
03/30/10,11:29:53 PM,"24.92.50.75",8,,,,"72.226.64.166",1,,,,,,
04/21/10,11:23:37 PM,"24.92.55.37",208,,,,"72.226.72.52",1,,,,,,
03/28/10,10:17:52 PM,"24.92.55.37",674,,,,"72.231.157.25",1,,,,,,
04/28/10,05:41:29 PM,"24.92.55.37",23,,,,"82.31.1.38",1,,,,,,
03/28/10,11:20:14 PM,"24.92.55.37",177,,,,"83.238.45.137",1,,,,,,
03/28/10,07:34:13 PM,"24.92.55.37",453,,,,"201.81.193.156",1,,,,,,
04/28/10,08:50:01 PM,"24.92.61.97",102,,,,"195.112.55.44",1,,,,,,
04/28/10,08:54:15 PM,"24.92.61.97",233,,,,"193.170.99.249",1,,,,,,
03/29/10,05:42:50 PM,"24.92.62.18",36,,,,"88.100.125.79",1,,,,,,
04/12/10,07:17:10 PM,"24.97.174.112",17,,,,"88.88.108.43",1,,,,,,
03/31/10,01:30:20 PM,"62.163.16.80",225,,,,"85.244.223.103",1,,,,,,
03/30/10,07:16:09 AM,"62.255.249.114",43,,,,"82.154.60.207",1,,,,,,
04/18/10,05:28:19 AM,"62.65.60.145",8,,,,"82.23.4.91",1,,,,,,
03/31/10,05:25:48 PM,"63.119.10.31",106,,,,"84.217.118.157",1,,,,,,
04/09/10,05:48:52 PM,"64.7.152.127",118,,,,"201.51.37.24",1,,,,,,
03/28/10,07:34:50 PM,"65.110.128.205",150,,,,"205.188.234.97",1,,,,,,
04/04/10,12:40:01 AM,"65.110.128.222",2412,,,,"128.237.236.227",1,,,,,,
04/04/10,12:10:10 PM,"65.110.128.222",1936,,,,"128.113.232.51",1,,,,,,
03/30/10,03:59:46 PM,"65.110.133.55",8,,,,"203.45.31.112",1,,,,,,
03/30/10,02:43:12 PM,"65.110.133.55",1138,,,,"186.136.117.223",1,,,,,,
03/30/10,04:50:34 PM,"65.88.88.174",860,,,,"128.113.209.130",1,,,,,,
04/05/10,12:34:30 PM,"66.188.136.90",15,,,,"201.233.43.147",1,,,,,,
04/01/10,04:24:03 PM,"66.237.181.100",10993,,,,"205.188.234.100",1,,,,,,
03/30/10,06:24:36 PM,"66.237.181.100",183,,,,"128.113.209.128",1,,,,,,
03/31/10,10:51:24 AM,"66.237.181.100",226,,,,"190.31.129.17",1,,,,,,
04/05/10,12:05:02 PM,"66.237.181.100",472,,,,"94.50.152.173",1,,,,,,
03/31/10,05:46:20 PM,"67.246.37.104",30,,,,"97.100.194.198",1,,,,,,
03/29/10,01:38:02 AM,"67.246.43.11",14,,,,"98.221.154.130",1,,,,,,
03/29/10,12:03:27 PM,"67.246.43.11",17,,,,"76.24.24.62",1,,,,,,
03/29/10,03:03:18 AM,"67.246.43.11",127,,,,"96.228.127.252",1,,,,,,
03/30/10,04:45:47 AM,"67.246.43.11",6,,,,"93.97.53.187",1,,,,,,
04/01/10,02:39:20 AM,"67.246.43.11",68,,,,"99.169.163.66",1,,,,,,
03/30/10,01:17:10 AM,"67.246.43.11",18,,,,"89.238.154.155",1,,,,,,
04/03/10,04:50:06 PM,"67.246.43.11",12,,,,"90.150.225.10",1,,,,,,
03/30/10,03:41:08 AM,"67.246.43.11",21,,,,"98.232.5.249",1,,,,,,
04/01/10,02:49:27 AM,"67.246.43.11",25,,,,"98.114.22.38",1,,,,,,
04/02/10,12:41:04 AM,"67.246.43.11",81,,,,"98.201.92.38",1,,,,,,
04/07/10,03:34:28 PM,"67.246.43.11",33,,,,"74.73.107.146",1,,,,,,
03/31/10,03:00:27 PM,"67.246.45.121",7108,,,,"74.76.87.83",1,,,,,,
03/31/10,10:19:24 PM,"67.248.167.50",164,,,,"85.5.186.144",1,,,,,,
03/28/10,10:33:07 PM,"67.248.17.24",224,,,,"89.180.166.165",1,,,,,,
04/28/10,05:55:15 PM,"67.248.17.24",65,,,,"75.72.203.9",1,,,,,,
03/28/10,07:44:02 PM,"67.248.17.24",528,,,,"77.228.188.204",1,,,,,,
03/29/10,10:16:55 PM,"67.248.17.24",241,,,,"77.31.149.34",1,,,,,,
03/31/10,01:48:20 AM,"67.248.20.117",81,,,,"95.30.235.92",1,,,,,,
04/05/10,10:42:06 AM,"67.248.21.215",1376,,,,"77.184.24.172",1,,,,,,
03/28/10,07:34:05 PM,"67.248.21.215",18,,,,"81.154.100.0",1,,,,,,
04/12/10,12:04:00 AM,"67.248.21.215",6,,,,"81.154.99.242",1,,,,,,
03/28/10,07:27:39 PM,"67.248.21.215",1516,,,,,,,,,,,
03/29/10,07:08:51 PM,"67.248.21.215",33,,,,,,,,,,,
03/28/10,11:18:06 PM,"67.248.21.215",7,,,,,,,,,,,
04/22/10,09:16:45 PM,"67.248.21.215",334,,,,,,,,,,,
03/28/10,04:25:36 PM,"67.248.21.215",20,,,,,,,,,,,
03/28/10,04:54:57 PM,"67.248.21.215",1458,,,,,,,,,,,
03/28/10,08:42:43 PM,"67.248.21.215",2258,,,,,,,,,,,
04/24/10,10:52:08 PM,"67.248.21.215",22,,,,,,,,,,,
03/29/10,09:00:43 AM,"67.248.21.215",41,,,,,,,,,,,
03/28/10,11:10:31 PM,"67.248.21.215",23,,,,,,,,,,,
03/31/10,02:12:58 AM,"67.248.226.213",7853,,,,,,,,,,,
03/29/10,08:51:46 PM,"67.248.23.128",40,,,,,,,,,,,
04/15/10,06:25:11 PM,"67.248.23.128",72,,,,,,,,,,,
04/15/10,10:24:38 PM,"67.248.27.186",230,,,,,,,,,,,
04/03/10,01:35:48 AM,"67.86.3.132",414,,,,,,,,,,,
04/03/10,12:49:38 PM,"68.107.123.101",367,,,,,,,,,,,
04/13/10,01:35:51 AM,"68.107.36.211",15,,,,,,,,,,,
03/28/10,09:20:29 PM,"68.173.101.97",1544,,,,,,,,,,,
04/14/10,05:34:33 PM,"68.190.117.15",89,,,,,,,,,,,
03/31/10,02:13:44 AM,"68.38.78.251",22,,,,,,,,,,,
03/30/10,09:00:10 AM,"68.45.106.112",27,,,,,,,,,,,
03/30/10,06:13:22 PM,"68.68.179.202",41,,,,,,,,,,,
03/28/10,07:55:43 PM,"69.204.154.76",261,,,,,,,,,,,
04/15/10,05:31:14 PM,"70.179.22.29",714,,,,,,,,,,,
03/29/10,10:50:11 PM,"71.206.246.248",160,,,,,,,,,,,
03/30/10,01:31:16 PM,"71.249.99.118",286,,,,,,,,,,,
04/01/10,04:40:09 PM,"72.197.85.168",12,,,,,,,,,,,
04/03/10,01:01:04 AM,"72.226.64.166",32,,,,,,,,,,,
04/10/10,10:36:05 PM,"72.226.72.52",8655,,,,,,,,,,,
04/02/10,08:52:32 PM,"72.226.79.187",283,,,,,,,,,,,
04/07/10,02:23:20 AM,"72.231.144.19",2644,,,,,,,,,,,
04/05/10,12:56:09 AM,"72.231.157.25",183,,,,,,,,,,,
03/28/10,08:07:32 PM,"72.231.169.79",1818,,,,,,,,,,,
03/28/10,07:37:13 PM,"72.231.169.79",14,,,,,,,,,,,
03/30/10,09:12:25 PM,"72.231.173.43",499,,,,,,,,,,,
04/02/10,12:58:59 PM,"72.43.5.141",50,,,,,,,,,,,
03/28/10,10:32:43 PM,"74.64.92.85",8319,,,,,,,,,,,
03/29/10,08:11:49 PM,"74.72.162.116",126,,,,,,,,,,,
04/02/10,03:25:06 PM,"74.73.107.146",14,,,,,,,,,,,
04/14/10,12:35:47 PM,"74.76.87.83",7,,,,,,,,,,,
04/28/10,07:53:41 PM,"75.72.203.9",11,,,,,,,,,,,
03/30/10,12:44:02 PM,"76.17.116.36",204,,,,,,,,,,,
03/29/10,09:31:57 PM,"76.17.116.36",188,,,,,,,,,,,
04/01/10,02:36:18 PM,"76.17.116.36",1385,,,,,,,,,,,
04/19/10,01:16:58 AM,"76.23.45.180",49,,,,,,,,,,,
04/19/10,01:12:03 AM,"76.23.45.180",18,,,,,,,,,,,
03/29/10,07:51:10 AM,"76.24.24.62",47,,,,,,,,,,,
03/28/10,10:57:26 PM,"76.24.31.42",76,,,,,,,,,,,
03/30/10,12:46:02 AM,"76.24.31.42",579,,,,,,,,,,,
03/29/10,04:56:32 PM,"76.24.31.42",13967,,,,,,,,,,,
03/30/10,02:10:01 PM,"76.24.31.42",59,,,,,,,,,,,
03/28/10,11:35:34 PM,"76.24.31.42",99,,,,,,,,,,,
03/28/10,11:01:47 PM,"76.24.31.42",772,,,,,,,,,,,
03/28/10,11:00:40 PM,"76.24.31.42",167,,,,,,,,,,,
03/29/10,11:47:30 PM,"76.24.31.42",168,,,,,,,,,,,
03/30/10,02:10:18 PM,"76.24.31.42",51,,,,,,,,,,,
03/28/10,11:17:42 PM,"76.24.31.42",97,,,,,,,,,,,
03/30/10,07:59:15 AM,"77.184.24.172",22,,,,,,,,,,,
04/15/10,02:26:38 PM,"77.228.188.204",93,,,,,,,,,,,
04/27/10,07:55:22 AM,"77.31.149.34",54,,,,,,,,,,,
03/30/10,04:15:39 PM,"78.24.11.13",54,,,,,,,,,,,
03/30/10,04:17:42 PM,"78.24.11.13",37,,,,,,,,,,,
03/30/10,04:16:27 PM,"78.24.11.13",22,,,,,,,,,,,
04/11/10,10:26:39 AM,"81.154.100.0",45,,,,,,,,,,,
04/12/10,07:57:04 AM,"81.154.99.242",10,,,,,,,,,,,
04/10/10,08:05:39 AM,"81.176.237.242",30,,,,,,,,,,,
03/30/10,03:15:25 PM,"81.35.43.161",45,,,,,,,,,,,
03/29/10,06:54:33 PM,"81.35.43.161",4694,,,,,,,,,,,
03/30/10,03:05:34 PM,"81.35.43.161",57,,,,,,,,,,,
04/03/10,03:46:35 PM,"81.39.10.204",11,,,,,,,,,,,
04/03/10,03:48:10 PM,"81.39.10.204",34,,,,,,,,,,,
04/05/10,01:17:04 AM,"82.154.60.207",128,,,,,,,,,,,
04/09/10,06:57:59 PM,"82.23.4.91",13,,,,,,,,,,,
04/07/10,07:15:32 AM,"82.234.175.19",169,,,,,,,,,,,
03/30/10,05:31:43 PM,"82.234.175.19",2841,,,,,,,,,,,
04/14/10,05:34:40 PM,"82.31.1.38",31,,,,,,,,,,,
04/13/10,04:01:56 PM,"82.94.160.216",51,,,,,,,,,,,
04/13/10,03:51:56 PM,"82.94.160.216",45,,,,,,,,,,,
04/03/10,05:30:52 PM,"82.94.160.219",147,,,,,,,,,,,
04/13/10,03:51:55 PM,"82.94.160.219",166,,,,,,,,,,,
04/13/10,04:03:55 PM,"82.94.160.219",220,,,,,,,,,,,
04/02/10,01:41:37 AM,"83.238.45.137",88,,,,,,,,,,,
03/29/10,06:07:11 AM,"83.33.123.62",36,,,,,,,,,,,
03/29/10,07:10:52 AM,"83.33.123.62",5,,,,,,,,,,,
03/29/10,11:14:18 AM,"83.33.123.62",482,,,,,,,,,,,
03/30/10,05:30:44 AM,"83.67.215.46",125,,,,,,,,,,,
03/30/10,05:12:55 AM,"83.67.215.46",610,,,,,,,,,,,
04/14/10,02:57:19 PM,"84.217.118.157",128,,,,,,,,,,,
04/05/10,04:27:46 PM,"85.139.77.224",960,,,,,,,,,,,
03/31/10,06:04:51 PM,"85.139.77.224",110,,,,,,,,,,,
03/29/10,09:56:00 PM,"85.139.77.224",533,,,,,,,,,,,
03/30/10,06:55:05 PM,"85.139.77.224",344,,,,,,,,,,,
03/29/10,10:22:44 PM,"85.139.77.224",42,,,,,,,,,,,
04/06/10,10:34:45 AM,"85.244.223.103",55,,,,,,,,,,,
04/22/10,03:43:30 AM,"85.5.186.144",19,,,,,,,,,,,
03/31/10,07:46:50 PM,"86.138.109.235",97,,,,,,,,,,,
03/31/10,07:48:46 PM,"86.138.109.235",115,,,,,,,,,,,
03/30/10,07:23:42 PM,"86.138.109.235",70,,,,,,,,,,,
03/30/10,07:23:48 PM,"86.138.109.235",5,,,,,,,,,,,
03/30/10,12:26:42 PM,"87.210.94.140",157,,,,,,,,,,,
04/18/10,07:44:11 AM,"87.210.94.140",125,,,,,,,,,,,
03/30/10,05:08:27 PM,"88.100.125.79",106,,,,,,,,,,,
04/15/10,12:20:12 PM,"88.88.108.43",1549,,,,,,,,,,,
04/17/10,03:33:18 PM,"89.180.166.165",44,,,,,,,,,,,
03/30/10,04:36:34 AM,"89.212.185.10",403,,,,,,,,,,,
03/30/10,07:18:16 AM,"89.238.154.155",19,,,,,,,,,,,
04/11/10,07:00:35 AM,"90.150.225.10",159,,,,,,,,,,,
03/29/10,05:22:27 AM,"91.105.74.34",22,,,,,,,,,,,
04/03/10,06:21:10 AM,"91.109.223.17",235,,,,,,,,,,,
03/31/10,06:18:15 AM,"91.135.8.79",20,,,,,,,,,,,
04/05/10,09:26:26 AM,"91.172.168.181",7,,,,,,,,,,,
04/05/10,04:51:25 PM,"91.172.168.181",573,,,,,,,,,,,
04/05/10,09:26:18 AM,"91.172.168.181",211,,,,,,,,,,,
04/12/10,03:57:45 PM,"91.2.229.133",56,,,,,,,,,,,
03/30/10,04:42:13 AM,"91.86.7.47",1095,,,,,,,,,,,
04/15/10,03:53:26 PM,"92.225.36.52",183,,,,,,,,,,,
04/15/10,04:12:23 PM,"92.225.36.52",270,,,,,,,,,,,
03/30/10,06:23:29 AM,"92.234.26.191",82,,,,,,,,,,,
03/31/10,06:24:13 PM,"93.108.164.160",403,,,,,,,,,,,
03/31/10,06:17:26 PM,"93.108.164.160",19,,,,,,,,,,,
04/05/10,04:14:38 PM,"93.108.164.160",221,,,,,,,,,,,
04/14/10,05:13:26 AM,"93.92.134.38",18,,,,,,,,,,,
04/14/10,05:14:17 AM,"93.92.134.38",34,,,,,,,,,,,
03/30/10,06:40:01 AM,"93.97.53.187",59,,,,,,,,,,,
04/10/10,06:31:41 PM,"94.50.152.173",45,,,,,,,,,,,
03/30/10,03:10:48 AM,"95.30.235.92",293,,,,,,,,,,,
03/30/10,06:42:50 AM,"95.93.178.43",32,,,,,,,,,,,
03/30/10,09:28:57 AM,"95.93.178.43",45,,,,,,,,,,,
03/30/10,09:28:56 AM,"95.93.178.43",32,,,,,,,,,,,
03/31/10,08:44:39 AM,"95.93.178.43",20,,,,,,,,,,,
03/30/10,09:27:10 AM,"95.93.178.43",51,,,,,,,,,,,
03/31/10,08:48:03 AM,"95.93.178.43",33,,,,,,,,,,,
03/31/10,11:53:33 PM,"96.228.127.252",2453,,,,,,,,,,,
03/29/10,09:06:46 PM,"97.100.194.198",164,,,,,,,,,,,
03/30/10,08:55:40 AM,"98.114.22.38",1453,,,,,,,,,,,
03/31/10,03:40:20 AM,"98.201.92.38",18,,,,,,,,,,,
03/29/10,09:05:37 PM,"98.221.154.130",154,,,,,,,,,,,
